feature,mean_abs_shap,signed_mean_shap
pen_up_ratio,0.28382017352162936,-0.05064568490848428
dominant_angle,0.2766446198042535,0.052908711351375086
mean_slant,0.2679160571582173,-0.17763632159603157
duty_cycle,0.25647096758098786,0.04213090314212489
width,0.23863358100770385,0.0814673343972727
path_length,0.21354064718689955,0.07681268636240904
direction_concentration,0.19388317077821815,-0.01331815878460441
pen_up_path_length,0.1798128400597642,0.030567642466696965
median_speed,0.10890669178551372,-0.09831904611270675
p95_pen_up_speed,0.09540871065856035,0.04125989961205265
mean_pressure,0.08898697269537485,0.019877180766630552
p95_speed,0.08798457718916944,0.052223768029157625
F3_total_time,0.07728497966640825,-0.010533932684063425
std_slant,0.06416292449169636,0.028010503685957866
height,0.06395244211405346,0.01674891876387152
ink_density,0.04573960562105943,-0.001677377277582099
F2_on_paper_time,0.03918811483709829,0.01415632135807256
straightness,0.03595364507681861,0.02017777858363882
stop_ratio,0.030354658380695475,0.019377600536747017
abs_mean_slant,0.029720085157343867,0.01696029103441961
aspect_ratio,0.027428610323458797,0.00789051182503752
F1_in_air_time,0.02171407069636201,0.0016559602786699217
F4_stroke_count,0.007210113960113956,-0.0004575887075887094
median_acceleration,0.0040585070105728285,-4.676896683118621e-05
median_pen_up_speed,0.0,0.0
