feature,mean_abs_shap,signed_mean_shap
mean_pressure,0.8354353662969035,-0.19213319522021075
F2_on_paper_time,0.7898426324232143,0.18612719109861986
duty_cycle,0.7280773265303944,0.2934984298782481
stop_ratio,0.7182601870884201,-0.28727131256875504
direction_concentration,0.5734553839092714,-0.042323467360635456
pen_up_ratio,0.5712760073033064,-0.314020466529939
p95_speed,0.564935075126874,-0.1163215198389684
F1_in_air_time,0.5627652490063396,-0.08845988601951241
median_acceleration,0.5307410932589833,-0.09743882195975109
p95_pen_up_speed,0.5239184062126061,0.030631059292299947
height,0.47132405885591866,0.08610653919159003
F3_total_time,0.4712348933866484,-0.03419503954990952
median_pen_up_speed,0.46216318595117545,0.03581860419990043
F4_stroke_count,0.4600638894133292,-0.20560873799180923
dominant_angle,0.44416546336047696,0.023963362477376234
width,0.40826296931186223,0.24750955992964888
abs_mean_slant,0.40460141770655367,0.18811873369255935
aspect_ratio,0.3910269185633969,0.23389802443711863
ink_density,0.34151159733426695,-0.07690126700775554
median_speed,0.3346567538954315,0.08871381628051314
pen_up_path_length,0.2862271318725277,-0.1896559432963985
mean_slant,0.22487782417202834,-0.050931383705649966
std_slant,0.2113207822739233,0.11966719010119836
path_length,0.20886891916876696,-0.02978870414620207
straightness,0.19838378378681204,0.04788584440959179
