feature,mean_abs_shap,signed_mean_shap
mean_pressure,1.7715447563737732,-0.21403162556058825
mean_slant,1.5954418548125544,-0.012204135547198834
median_acceleration,1.3796797779971217,0.20524832051625125
p95_pen_up_speed,1.3284545084305166,-0.17917744775962222
height,1.2431464321260604,-0.20068111256755777
pen_up_ratio,1.2104200833773746,0.23069805651665817
aspect_ratio,1.190149317622671,0.10240775768253477
median_pen_up_speed,1.1701134676643108,-0.10384895191183147
dominant_angle,1.1216232835638278,-0.1804167531736887
duty_cycle,1.0684829020006985,-0.4050512790905962
F4_stroke_count,1.062233721243244,0.11519669855632848
stop_ratio,1.0358590088139148,0.14050534998159642
straightness,1.0346292342489798,-0.1710890571844049
pen_up_path_length,0.8859784074530898,0.33034553428600033
abs_mean_slant,0.8319193831327074,0.023001371644824724
p95_speed,0.8291535457355772,0.14145636372955994
std_slant,0.8227447047790386,0.07953337076115778
direction_concentration,0.8171883475029768,-0.08072797629596612
median_speed,0.7730796025658617,-0.05432143298928967
path_length,0.7406416988163861,0.31860868260950903
