feature,mean_abs_shap,signed_mean_shap
width,0.2827015874958467,-0.019211362615846612
ink_density,0.15993600788539503,0.0033031916560979837
median_speed,0.1527429006182996,0.040058573787442896
straightness,0.08867283060144239,0.03896868646192227
std_slant,0.08828933901825654,0.007157307530159597
direction_concentration,0.07861976374564124,-0.03250437871534503
pen_up_ratio,0.07612903945006631,-0.019838819305516273
p95_pen_up_speed,0.06034289742316634,0.004863299731608373
p95_speed,0.04060414979019236,0.015229130428199027
aspect_ratio,0.03501271975833188,-0.010609998831078141
mean_pressure,0.03348294610931707,0.01883516844514595
duty_cycle,0.03177848915371357,-0.003742849037820126
path_length,0.02428523158285436,0.005380392833842646
height,0.021683469111984946,-0.003747662983124413
median_pen_up_speed,0.021385298876660432,0.00806337326306736
F2_on_paper_time,0.016923790636047722,0.01051387907515407
dominant_angle,0.014121671173043178,-0.00331693777064776
abs_mean_slant,0.013705053635393863,0.0047944705488270675
F4_stroke_count,0.011471898076838662,0.010643403553676212
median_acceleration,0.010305701611278964,0.007414304730288626
