Task;Model;mode;Target;MSE;RMSE;R2;CV_MSE;CV_STD
words;Linear Regression;multi-output;Stress;9.659.686.832.435.580;9.828.370.583.385.410;-0.256411655807141;48.720.928.659.498.600;13.729.747.484.179.900
words;Linear Regression;multi-output;Anxiety;4.274.053.210.200.610;65.376.243.469.632.000;0.004561595143629971;48.720.928.659.498.600;13.729.747.484.179.900
words;Linear Regression;subscales;Depression;4.758.589.532.977.200;6.898.253.063.622.120;-0.036977055637340106;43.077.154.546.790.800;1.858.484.712.005.390
words;Linear Regression;subscales;Anxiety;4.274.053.210.200.610;65.376.243.469.632.000;0.004561595143629971;4.119.535.334.443.090;1.307.353.293.388.540
words;Linear Regression;subscales;Stress;9.659.686.832.435.580;9.828.370.583.385.410;-0.256411655807141;6.189.027.808.727.410;18.777.290.640.757.100
words;Ridge Regression;total;TOTAL DASS;3.908.803.869.141.350;19.770.695.155.055.500;-0.013851862077526755;2.940.098.782.771.430;2.573.022.501.552.290
words;Ridge Regression;multi-output;Depression;4.599.015.048.086.900;6.781.603.828.068.180;-0.002203079367766536;4.128.917.684.182.430;331.749.020.039.017
words;Ridge Regression;multi-output;Stress;800.778.371.707.364;8.948.622.082.239.050;-0.04155268942369705;4.128.917.684.182.430;331.749.020.039.017
words;Ridge Regression;multi-output;Anxiety;4.524.601.400.221.460;6.726.515.740.129.850;-0.05379174730394909;4.128.917.684.182.430;331.749.020.039.017
words;Ridge Regression;subscales;Depression;4.599.015.048.086.900;6.781.603.828.068.180;-0.002203079367766536;35.094.067.626.372.300;2.742.810.274.302.830
words;Ridge Regression;subscales;Anxiety;4.524.601.400.221.460;6.726.515.740.129.850;-0.05379174730394909;342.689.714.595.064;32.065.731.938.806.100
words;Ridge Regression;subscales;Stress;800.778.371.707.364;8.948.622.082.239.050;-0.04155268942369705;5.450.449.143.959.440;4.004.859.371.505.970
words;Lasso Regression;total;TOTAL DASS;38.743.544.668.169.900;1.968.337.996.081.210;-0.004916496716850238;2.898.437.668.394.050;20.702.806.440.113.400
words;Lasso Regression;multi-output;Depression;4.600.630.451.648.450;6.782.794.742.323.000;-0.0025551030960819787;4.105.949.733.466.590;348.218.292.287.717
words;Lasso Regression;multi-output;Stress;772.818.543.036.754;8.791.009.856.875.110;-0.005186029463078334;4.105.949.733.466.590;348.218.292.287.717
words;Lasso Regression;multi-output;Anxiety;45.711.264.746.187.900;6.761.010.630.533.560;-0.0646275613582441;4.105.949.733.466.590;348.218.292.287.717
words;Lasso Regression;subscales;Depression;4.600.630.451.648.450;6.782.794.742.323.000;-0.0025551030960819787;3.494.667.079.514.980;5.459.582.651.050.300
words;Lasso Regression;subscales;Anxiety;45.711.264.746.187.900;6.761.010.630.533.560;-0.0646275613582441;3.370.537.837.061.090;14.399.139.506.514.200
words;Lasso Regression;subscales;Stress;772.818.543.036.754;8.791.009.856.875.110;-0.005186029463078334;5.452.644.283.823.690;4.072.171.587.374.310
words;Elastic Net;total;TOTAL DASS;38.743.544.668.169.900;1.968.337.996.081.210;-0.004916496716850238;2.898.437.668.394.050;187.468.364.721.511
words;Elastic Net;multi-output;Depression;4.600.630.451.648.450;6.782.794.742.323.000;-0.0025551030960819787;4.105.949.733.466.590;2.461.093.358.287.690
words;Elastic Net;multi-output;Stress;772.818.543.036.754;8.791.009.856.875.110;-0.005186029463078334;4.105.949.733.466.590;2.461.093.358.287.690
words;Elastic Net;multi-output;Anxiety;45.711.264.746.187.900;6.761.010.630.533.560;-0.0646275613582441;4.105.949.733.466.590;2.461.093.358.287.690
words;Elastic Net;subscales;Depression;4.600.630.451.648.450;6.782.794.742.323.000;-0.0025551030960819787;3.494.667.079.514.980;3.033.324.918.345.020
words;Elastic Net;subscales;Anxiety;45.711.264.746.187.900;6.761.010.630.533.560;-0.0646275613582441;3.370.537.837.061.090;14.412.306.037.711.500
words;Elastic Net;subscales;Stress;772.818.543.036.754;8.791.009.856.875.110;-0.005186029463078334;5.452.644.283.823.690;329.421.060.826.046
words;Random Forest;total;TOTAL DASS;4.027.386.443.071.650;20.068.349.316.950.900;-0.04460939492237448;32.528.264.599.986.800;8.374.537.203.262.310
words;Random Forest;multi-output;Depression;43.037.318.759.188.300;6.560.283.435.888.140;0.06214411265880093;43.947.225.647.444.200;1.038.355.213.202.650
words;Random Forest;multi-output;Stress;9.390.269.208.715.450;9.690.340.143.006.050;-0.22136916958644814;43.947.225.647.444.200;1.038.355.213.202.650
words;Random Forest;multi-output;Anxiety;4.485.450.527.813.950;6.697.350.616.336.240;-0.04467340458302571;43.947.225.647.444.200;1.038.355.213.202.650
words;Random Forest;subscales;Depression;4.677.606.683.509.370;68.393.030.957.177.000;-0.019329524532522013;39.306.148.980.705.900;1.103.756.904.856.490
words;Random Forest;subscales;Anxiety;4.485.450.527.813.950;6.697.350.616.336.240;-0.04467340458302571;3.645.465.481.365.750;16.001.786.621.199.500
words;Random Forest;subscales;Stress;8.878.068.033.304.470;9.422.350.043.011.810;-0.15474842524268806;5.528.321.189.242.630;1.675.917.301.709.330
words;Gradient Boosting;total;TOTAL DASS;39.222.605.196.807.100;19.804.697.724.733.600;-0.0173422009800146;3.016.530.876.670.470;4.126.533.980.604.950
words;Gradient Boosting;multi-output;Depression;4.578.944.959.244.200;67.667.901.986.423.300;0.0021705320753423463;4.206.436.838.295.570;4.962.204.465.696.290
words;Gradient Boosting;multi-output;Stress;8.089.604.242.386.310;8.994.222.724.830.810;-0.05219488346894474;4.206.436.838.295.570;4.962.204.465.696.290
words;Gradient Boosting;multi-output;Anxiety;4.496.108.263.539.240;6.705.302.575.976.150;-0.047155619690793404;4.206.436.838.295.570;4.962.204.465.696.290
words;Gradient Boosting;subscales;Depression;4.541.664.686.493.360;67.391.874.039.036.400;0.01029453335820496;36.613.550.809.433.700;4.889.379.590.447.700
words;Gradient Boosting;subscales;Anxiety;4.496.108.263.539.240;6.705.302.575.976.150;-0.047155619690793404;3.517.691.749.525.260;4.525.012.946.490.620
words;Gradient Boosting;subscales;Stress;8.089.604.242.386.310;8.994.222.724.830.810;-0.05219488346894474;5.383.037.023.542.940;6.150.198.506.040.840
