Task;Model;mode;Target;MSE;RMSE;R2;CV_MSE;CV_STD
house;Gradient Boosting;multi-output;Depression;45.236.851.254.632.500;6.725.834.613.981.560;0.014212583471468032;4.122.149.917.274.770;5.376.001.348.963.470
house;Gradient Boosting;multi-output;Stress;786.474.525.464.742;8.868.339.898.000.870;-0.022948029196247166;4.122.149.917.274.770;5.376.001.348.963.470
house;Gradient Boosting;multi-output;Anxiety;4.644.797.697.715.380;6.815.275.267.892.980;-0.08178578592785524;4.122.149.917.274.770;5.376.001.348.963.470
house;Gradient Boosting;subscales;Depression;4.592.145.495.563.120;677.653.709.173.286;-0.0007060878116993408;34.779.454.480.076.500;4.471.533.485.514.110
house;Gradient Boosting;subscales;Anxiety;4.644.797.697.715.380;6.815.275.267.892.980;-0.08178578592785524;3.426.553.626.113.140;4.973.562.216.029.650
house;Gradient Boosting;subscales;Stress;786.474.525.464.742;8.868.339.898.000.870;-0.022948029196247166;542.560.564.312.382;71.841.058.398.626.100
cursive_writing;Linear Regression;total;TOTAL DASS;4.629.754.590.507.340;215.168.645.264.763;-0.20084953599346278;32.033.167.560.703.700;11.414.165.706.167.500
cursive_writing;Linear Regression;multi-output;Depression;5.400.607.898.272.480;7.348.882.839.093.630;-0.17688370433970602;4.605.732.471.908.960;13.056.490.798.404.400
cursive_writing;Linear Regression;multi-output;Stress;9.723.229.422.502.650;9.860.643.702.366.820;-0.264676483868892;4.605.732.471.908.960;13.056.490.798.404.400
cursive_writing;Linear Regression;multi-output;Anxiety;4.786.087.247.744.430;6.918.155.279.945.970;-0.11469249938854098;4.605.732.471.908.960;13.056.490.798.404.400
cursive_writing;Linear Regression;subscales;Depression;5.400.607.898.272.480;7.348.882.839.093.630;-0.17688370433970602;39.559.520.663.996.300;1.395.644.116.216.110
cursive_writing;Linear Regression;subscales;Anxiety;4.786.087.247.744.430;6.918.155.279.945.970;-0.11469249938854098;3.829.392.256.576.550;13.625.466.953.662.500
cursive_writing;Linear Regression;subscales;Stress;9.723.229.422.502.650;9.860.643.702.366.820;-0.264676483868892;60.318.530.927.506.900;1.999.893.046.351.570
cursive_writing;Ridge Regression;total;TOTAL DASS;4.102.570.344.691.580;2.025.480.275.068.500;-0.06411033209074812;2.747.396.329.316.030;10.388.126.475.320.500
cursive_writing;Ridge Regression;multi-output;Depression;4.698.495.807.118.010;6.854.557.467.202.390;-0.02388161748872708;39.046.369.365.700.400;15.858.750.726.226.000
cursive_writing;Ridge Regression;multi-output;Stress;8.442.252.625.506.640;9.188.173.172.892.770;-0.0980629894065177;39.046.369.365.700.400;15.858.750.726.226.000
cursive_writing;Ridge Regression;multi-output;Anxiety;46.589.563.091.800.000;6.825.654.773.851.370;-0.08508336434304331;39.046.369.365.700.400;15.858.750.726.226.000
cursive_writing;Ridge Regression;subscales;Depression;4.921.341.656.053.010;7.015.227.477.461.450;-0.0724434929537543;3.353.275.424.694.930;0.5196462871679765
cursive_writing;Ridge Regression;subscales;Anxiety;4.651.958.933.706.880;6.820.527.057.131.930;-0.08345365691157713;3.248.225.703.467.020;14.660.305.582.316.200
cursive_writing;Ridge Regression;subscales;Stress;8.442.252.625.506.640;9.188.173.172.892.770;-0.0980629894065177;5.067.233.502.477.600;2.857.420.560.937.430
cursive_writing;Lasso Regression;total;TOTAL DASS;41.465.360.762.698.500;20.363.045.146.219.700;-0.07551400961474197;26.796.485.755.581.000;26.434.940.364.648.200
cursive_writing;Lasso Regression;multi-output;Depression;4.593.912.938.473.840;6.777.841.056.320.100;-0.0010912434829060125;3.824.769.253.556.930;53.284.274.872.641.600
